name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
user_reg,0,256,1,uint8_t,Writable registers for user testing - Starts at 0 and increases 1 each register by default,3,256,,,,,,,
sys.sn,256,12,1,uint8_t,Unique ID of the device,0,12,,,,DEVICE_SPECIFIC,,,
sys.fw_rev,268,4,1,uint8_t,Firmware revision,0,4,,,,,0,,
sys.if_rev,272,4,1,uint8_t,Interface revision - This correlates to the version of the memory map,0,4,,,,,,,
sys.tick,276,,8,uint64_t,Tick in ms - Updates with the sys tick register every few ms,0,,,,,VOLATILE,,,
sys.build_time.second,284,,1,uint8_t,The build time seconds,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.minute,285,,1,uint8_t,The build time minutes,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.hour,286,,1,uint8_t,The build time hours,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.day_of_month,287,,1,uint8_t,The build time day of month,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.day_of_week,288,,1,uint8_t,Not used,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.month,289,,1,uint8_t,The build time month,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.year,290,,1,uint8_t,The build time year (20XX),0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.res,291,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
sys.device_num,292,,4,uint32_t,The philip device designator - A constant number to identify philip firmware,0,,,,17061,,,,
sys.sys_clk,296,,4,uint32_t,The frequency of the system clock in Hz,0,,,,,,,,
sys.status.update,300,,1,,1:register configuration requires execution for changes - 0:nothing to update,0,,0,1,,,,,
sys.status.board,300,,1,,1:board is a bluepill - 0:board is a nucleo-f103rb,0,,1,1,,DEVICE_SPECIFIC,,,
sys.status.res,300,,1,,Reserved bits,1,,2,6,,,,,
sys.mode.init,301,,1,,0:periph will initialize on execute - 1:periph initialized,1,,0,1,,,,,
sys.mode.dut_rst,301,,1,,1:put DUT in reset mode - 0:run DUT,1,,1,1,,,,,
sys.mode.res,301,,1,,Reserved bits,1,,2,6,,,,,
sys.res,302,18,1,uint8_t,Reserved bytes,0,18,,,,,,,
i2c.mode.init,320,,1,,0:periph will initialize on execute - 1:periph initialized,1,,0,1,,,,,
i2c.mode.disable,320,,1,,0:periph is enabled - 1:periph is disabled,1,,1,1,,,,,
i2c.mode.addr_10_bit,320,,1,,0:i2c address is 7 bit mode - 1:10 i2c address is 10 bit mode,1,,2,1,,,,,
i2c.mode.general_call,320,,1,,0:disable general call - 1:enable general call,1,,3,1,,,,,
i2c.mode.no_clk_stretch,320,,1,,0:slave can clock stretch - 1:disables clock stretch,1,,4,1,,,,,
i2c.mode.reg_16_bit,320,,1,,0:8 bit register access - 1:16 bit register access mode,1,,5,1,,,,,
i2c.mode.reg_16_big_endian,320,,1,,0:little endian if 16 bit register access - 1:big endian if 16 bit register access,1,,6,1,,,,,
i2c.mode.nack_data,320,,1,,0:all data will ACK - 1:all data will NACK,1,,7,1,,,,,
i2c.status.ovr,321,,1,,Overrun/Underrun: Request for new byte when not ready,0,,0,1,,,,,
i2c.status.af,321,,1,,Acknowledge failure,0,,1,1,,,,,
i2c.status.berr,321,,1,,Bus error:  Non-valid position during a byte transfer,0,,2,1,,VOLATILE,,,
i2c.status.gencall,321,,1,,General call address received,0,,3,1,,,,,
