name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
sys.sn,0,12,1,uint8_t,Unique ID of the device,0,12,,,,DEVICE_SPECIFIC,,,
sys.fw_rev,12,,4,uint32_t,Firmware revision,0,,,,,,0,,
sys.build_time.second,16,,1,uint8_t,The seconds in decimal,1,,,,,,,,
sys.build_time.minute,17,,1,uint8_t,The minutes in decimal,1,,,,,,,,
sys.build_time.hour,18,,1,uint8_t,The hours in decimal,1,,,,,,,,
sys.build_time.day_of_month,19,,1,uint8_t,The months in decimal,1,,,,,,,,
sys.build_time.day_of_week,20,,1,uint8_t,The week in decimal,1,,,,,,,,
sys.build_time.month,21,,1,uint8_t,The month in decimal,1,,,,,,,,
sys.build_time.year,22,,1,uint8_t,The last two digits of the year in decimal (20xx),1,,,,,,,,
sys.build_time.res,23,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
sys.device_num,24,,4,uint32_t,A constant number that should always be the same,0,,,,17061,,,,
sys.cr,28,,1,sys_cr_t,Control register for device,1,,,,,,,,
sys.cr.dut_rst,28,,,,resets the DUT,1,,0,1,,,,,
sys.res,29,3,1,uint8_t,Reserved bytes,0,3,,,,,,,
i2c.mode,32,,1,i2c_mode_t,Specific modes for I2C,1,,,,,,,,
i2c.mode.addr_10_bit,32,,,,10 bit address enable,1,,0,1,,,,,
i2c.mode.general_call,32,,,,General call enable,1,,1,1,,,,,
i2c.mode.no_clk_stretch,32,,,,Disable for clk stretch,1,,2,1,,,,,
i2c.mode.reg_16_bit,32,,,,16 bit register access mode,1,,3,1,,,,,
i2c.mode.nack_data,32,,,,Forces a data nack,1,,4,1,,,,,
i2c.status,33,,1,i2c_status_t,Specific modes for I2C,1,,,,,,,,
i2c.status.OVR,33,,,,Overrun/Underrun: Request for new byte when not ready,1,,0,1,,,,,
i2c.status.AF,33,,,,Acknowledge failure,1,,1,1,,,,,
i2c.status.BERR,33,,,,Bus error:  Non-valid position during a byte transfer,1,,2,1,,,,,
i2c.status.GENCALL,33,,,,General call address received,1,,3,1,,,,,
i2c.status.BUSY,33,,,,i2c bus is BUSY,1,,4,1,,,,,
i2c.status.RSR,33,,,,Repeated start detected,1,,5,1,,,,,
i2c.clk_stretch_delay,34,,2,uint16_t,Delay in us for clock stretch,1,,,,,,,,
i2c.slave_addr_1,36,,2,uint16_t,Primary slave address,1,,,,85,,125,124,8
i2c.slave_addr_2,38,,2,uint16_t,Secondary slave address,1,,,,66,,126,124,8
i2c.r_count,40,,1,uint8_t,Last read frame byte count,1,,,,,,,,
i2c.w_count,41,,1,uint8_t,Last write frame byte count,1,,,,,,,,
i2c.res,42,6,1,uint8_t,Reserved bytes,0,6,,,,,,,
spi.mode,48,,1,uint8_t,,1,,,,,,,,
spi.error_code,49,,4,uint32_t,,1,,,,,,,,
spi.res,53,11,1,uint8_t,Reserved bytes,0,11,,,,,,,
uart.mode,64,,1,uint8_t,Test mode,1,,,,,,,,
uart.baud,65,,4,uint32_t,Baudrate,1,,,,,,,,
uart.rx_count,69,,2,uint16_t,Number of received bytes,1,,,,,,,,
uart.tx_count,71,,2,uint16_t,Number of transmitted bytes,1,,,,,,,,
uart.ctrl,73,,1,uart_ctrl_t,UART control register,1,,,,,,,,
uart.ctrl.stop_bits,73,,,,Number of stop bits,1,,0,1,,,,,
uart.ctrl.parity,73,,,,Parity,1,,1,2,,,,,
uart.ctrl.rts,73,,,,RTS pin state,1,,3,1,,,,,
uart.status,74,,1,uart_status_t,UART status register,1,,,,,,,,
uart.status.cts,74,,,,CTS pin state,1,,0,1,,,,,
uart.status.pe,74,,,,Parity error,1,,1,1,,,,,
uart.status.fe,74,,,,Framing error,1,,2,1,,,,,
uart.status.nf,74,,,,Noise detected flag,1,,3,1,,,,,
uart.status.ore,74,,,,Overrun error,1,,4,1,,,,,
uart.res,75,5,1,uint8_t,Reserved bytes,0,5,,,,,,,
rtc.second,80,,1,uint8_t,The seconds in decimal,1,,,,,,,,
rtc.minute,81,,1,uint8_t,The minutes in decimal,1,,,,,,,,
